distance_m,altitude_m,slope_rad
0.0,1488.0,0.0
50.008418925745076,1488.2015732179495,0.004031442518470384
100.01683785149015,1488.3937619280287,0.0038437552716743886
150.02525677723523,1488.57656515239,0.003656048197387547
200.0336757029803,1488.7499877693324,0.0034684384302674323
250.04209462872538,1488.9140405045246,0.003281042930051579
300.05051355447046,1489.0687399185742,0.003093978408377499
350.0589324802155,1489.2141083909519,0.0029073612557930064
400.0673514059606,1489.3501741002747,0.002721307468875463
450.0757703317057,1489.4769710009691,0.002535932577719613
500.08418925745076,1489.5945387963231,0.0023513515736444117
550.0926081831958,1489.7029229079462,0.0021676788372693508
600.1010271089409,1489.8021744416558,0.0019850280669607232
650.109446034686,1489.892350149813,0.0018035122077392023
700.117864960431,1489.9735123901312,0.001623243380658226
750.1262838861761,1490.0457290809816,0.001444332812667227
800.1347028119212,1490.109073653226,0.0012668907670964884
850.1431217376663,1490.1636249986075,0.0010910264747321413
900.1515406634114,1490.2094674147277,0.0009168480654998085
950.1599595891564,1490.2466905466513,0.0007444625009390857
1000.1683785149015,1490.2753893251686,0.0005739755073145121
1050.1767974406466,1490.2956639017596,0.00040549150959518556
1100.1852163663916,1490.3076195802957,0.00023911356616680015
1150.1936352921368,1490.3113667455289,7.494330452184982e-05
1200.2020542178818,1490.3070207884043,-8.691914227195264e-05
1250.2104731436268,1490.294702028253,-0.00024637519804298523
1300.218892069372,1490.274535631903,-0.0004033279051267662
1350.227310995117,1490.246651529772,-0.0005576819848074694
1400.235729920862,1490.2111843289797,-0.0007093438968718358
1450.2441488466072,1490.16827322355,-0.0008582218978889664
1500.2525677723522,1490.1180619017452,-0.0010042260985161783
1550.2609866980974,1490.060698450601,-0.0011472685195308774
1600.2694056238424,1489.9963352577154,-0.0012872631466931484
1650.2778245495874,1489.925128910357,-0.0014241259843937322
1700.2862434753326,1489.8472400919547,-0.0015577751079784254
1750.2946624010776,1489.7628334760313,-0.0016881307148627796
1800.3030813268228,1489.6720776176548,-0.001815115174141748
1850.3115002525678,1489.5751448424649,-0.0019386530750674143
1900.3199191783128,1489.4722111333544,-0.0020586712738994
1950.328338104058,1489.36345601487,-0.0021750989395102364
2000.336757029803,1489.249062435407,-0.00228786759742768
2050.3451759555483,1489.1292166472738,-0.0023969111724234404
2100.3535948812932,1489.004108084697,-0.0025021660296395726
2150.3620138070382,1488.8739292398477,-0.002603571014130098
2200.3704327327832,1488.7388755369655,-0.00270106748884096
2250.378851658528,1488.5991452046567,-0.002794599371078709
2300.3872705842737,1488.4549391464511,-0.0028841131672954837
2350.3956895100187,1488.3064608096943,-0.0029695580063134625
2400.4041084357636,1488.1539160528614,-0.0030508856708390906
2450.4125273615086,1487.9975130113717,-0.003128050627408429
2500.4209462872536,1487.8374619619913,-0.0032010100545502894
2550.429365212999,1487.673975185908,-0.0032697238693084746
2600.437784138744,1487.5072668305622,-0.003334154752050736
2650.446203064489,1487.337552770324,-0.003394268169519326
2700.454621990234,1487.1650504661002,-0.0034500323961507554
2750.463040915979,1486.9899788239625,-0.0035014185336332652
2800.471459841724,1486.8125580528822,-0.0035484005287204842
2850.4798787674695,1486.6330095216636,-0.003590955189219727
2900.4882976932145,1486.4515556151632,-0.0036290621982279455
2950.4967166189595,1486.2684195898873,-0.0036627041265473678
3000.5051355447044,1486.0838254290557,-0.0036918664433128858
3050.5135544704494,1485.8979976972248,-0.003716537524776809
3100.521973396195,1485.7111613945601,-0.003736708661319372
3150.53039232194,1485.5235418108482,-0.003752374062607838
3200.538811247685,1485.335364379343,-0.003763530860913399
3250.54723017343,1485.146854530535,-0.003770179112635996
3300.555649099175,1484.958237545935,-0.0037723217980007275
3350.5640680249203,1484.769738411966,-0.0037699648188986063
